personid,Primary_mode,age
1710020801,Household vehicle 1,6.0
1710020802,"Walk, jog, or wheelchair",8.0
1710020802,"Walk, jog, or wheelchair",8.0
1710020802,Household vehicle 2,8.0
1710020802,Household vehicle 2,8.0
1710020802,Household vehicle 2,8.0
1710020803,"Walk, jog, or wheelchair",3.0
1710020803,Bus (public transit),3.0
1710022101,"Walk, jog, or wheelchair",7.0
1710022101,"Walk, jog, or wheelchair",7.0
1710022101,"Walk, jog, or wheelchair",7.0
1710023101,"Walk, jog, or wheelchair",10.0
1710023101,"Walk, jog, or wheelchair",10.0
1710023101,"Walk, jog, or wheelchair",10.0
1710023102,Household vehicle 2,10.0
1710023102,Household vehicle 2,10.0
1710023102,Household vehicle 2,10.0
1710023102,"Walk, jog, or wheelchair",10.0
1710023102,"Walk, jog, or wheelchair",10.0
1710023301,Household vehicle 2,10.0
1710023301,Household vehicle 2,10.0
1710023301,Household vehicle 2,10.0
1710023301,Household vehicle 3,10.0
1710023301,Household vehicle 3,10.0
1710023301,Household vehicle 3,10.0
1710023301,Household vehicle 3,10.0
1710023301,Household vehicle 3,10.0
1710023301,Household vehicle 3,10.0
1710023301,Household vehicle 3,10.0
1710023301,Household vehicle 3,10.0
1710023301,Household vehicle 2,10.0
1710023301,Household vehicle 2,10.0
1710023301,Household vehicle 3,10.0
1710023301,Household vehicle 3,10.0
1710023301,Household vehicle 3,10.0
1710023302,Household vehicle 1,9.0
1710023302,Household vehicle 1,9.0
1710023302,Household vehicle 1,9.0
1710023302,Household vehicle 1,9.0
1710023302,Household vehicle 1,9.0
1710023801,Household vehicle 2,11.0
1710023801,Household vehicle 2,11.0
1710023801,Household vehicle 2,11.0
1710023802,Household vehicle 2,10.0
1710023802,Household vehicle 2,10.0
1710023802,Household vehicle 2,10.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,Bus (public transit),7.0
1710024801,Friend/colleague's car,7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,"Other hired service (e.g., Lyft, Uber)",7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,Bus (public transit),7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,Bicycle or e-bike,7.0
1710024801,Bicycle or e-bike,7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,Bicycle or e-bike,7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,Bicycle or e-bike,7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,"Other hired service (e.g., Lyft, Uber)",7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,Bus (public transit),7.0
1710024801,"Other hired service (e.g., Lyft, Uber)",7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,Bicycle or e-bike,7.0
1710024801,Bicycle or e-bike,7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,Bus (public transit),7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710024801,Bus (public transit),7.0
1710024801,"Walk, jog, or wheelchair",7.0
1710025501,Household vehicle 1,6.0
1710025501,"Walk, jog, or wheelchair",6.0
1710025501,"Walk, jog, or wheelchair",6.0
1710025501,"Walk, jog, or wheelchair",6.0
1710025501,"Walk, jog, or wheelchair",6.0
1710025501,"Walk, jog, or wheelchair",6.0
1710025501,"Walk, jog, or wheelchair",6.0
1710025501,Household vehicle 1,6.0
1710025501,Household vehicle 1,6.0
1710025501,Household vehicle 1,6.0
1710028001,Bus (public transit),7.0
1710028001,Bus (public transit),7.0
1710028001,"Walk, jog, or wheelchair",7.0
1710028001,"Walk, jog, or wheelchair",7.0
1710029101,Household vehicle 1,8.0
1710029101,Household vehicle 1,8.0
1710029101,"Walk, jog, or wheelchair",8.0
1710029101,"Walk, jog, or wheelchair",8.0
1710029101,"Walk, jog, or wheelchair",8.0
1710029101,"Walk, jog, or wheelchair",8.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030301,Household vehicle 1,6.0
1710030302,Bus (public transit),6.0
1710030302,Bus (public transit),6.0
1710030302,Bus (public transit),6.0
1710030302,Bus (public transit),6.0
1710030302,Household vehicle 1,6.0
1710030302,Other non-household vehicle,6.0
1710030302,Household vehicle 1,6.0
1710030302,Bus (public transit),6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710030302,Bus (public transit),6.0
1710030302,"Walk, jog, or wheelchair",6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710030302,Bus (public transit),6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710030302,Car from work,6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710030302,Bus (public transit),6.0
1710030302,Car from work,6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710030302,Household vehicle 1,6.0
1710032601,Household vehicle 1,6.0
1710032601,Household vehicle 1,6.0
1710032601,"Walk, jog, or wheelchair",6.0
1710032601,"Walk, jog, or wheelchair",6.0
1710034201,Bus (public transit),6.0
1710034201,Bus (public transit),6.0
1710034201,Household vehicle 2,6.0
1710034201,Household vehicle 2,6.0
1710034201,Bus (public transit),6.0
1710034201,Bus (public transit),6.0
1710034201,Household vehicle 2,6.0
1710034201,Bus (public transit),6.0
1710034201,"Other hired service (e.g., Lyft, Uber)",6.0
1710034201,Household vehicle 2,6.0
1710034201,Household vehicle 2,6.0
1710034201,Household vehicle 2,6.0
1710034201,Household vehicle 2,6.0
1710034201,Household vehicle 2,6.0
1710034201,Household vehicle 2,6.0
1710034201,Household vehicle 2,6.0
1710034201,Household vehicle 2,6.0
1710034201,Household vehicle 1,6.0
1710034201,Household vehicle 1,6.0
1710034201,Household vehicle 2,6.0
1710034201,Household vehicle 2,6.0
1710034201,Household vehicle 2,6.0
1710034201,Household vehicle 2,6.0
1710034201,Household vehicle 2,6.0
1710034201,Household vehicle 2,6.0
1710034201,Household vehicle 2,6.0
1710034201,Household vehicle 1,6.0
1710034201,Household vehicle 1,6.0
1710034201,Household vehicle 1,6.0
1710034201,Household vehicle 1,6.0
1710034201,Household vehicle 1,6.0
1710034201,Household vehicle 1,6.0
1710034201,Household vehicle 1,6.0
1710034201,Household vehicle 1,6.0
1710034201,Household vehicle 1,6.0
1710034201,Household vehicle 1,6.0
1710034201,Household vehicle 1,6.0
1710034202,Household vehicle 2,6.0
1710034202,"Walk, jog, or wheelchair",6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,"Other hired service (e.g., Lyft, Uber)",6.0
1710034202,Household vehicle 1,6.0
1710034202,"Walk, jog, or wheelchair",6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,Household vehicle 2,6.0
1710034202,"Walk, jog, or wheelchair",6.0
1710034202,Bus (public transit),6.0
1710034202,"Walk, jog, or wheelchair",6.0
1710034202,Household vehicle 1,6.0
1710034202,Household vehicle 1,6.0
1710034202,Household vehicle 1,6.0
1710034202,Household vehicle 1,6.0
1710037201,Bus (public transit),7.0
1710037201,Bus (public transit),7.0
1710037201,"Walk, jog, or wheelchair",7.0
1710041001,Bus (public transit),7.0
1710041001,Bus (public transit),7.0
1710041001,"Walk, jog, or wheelchair",7.0
1710041001,"Walk, jog, or wheelchair",7.0
1710041001,"Carshare vehicle (e.g., Zipcar, Car2Go, RelayRides, etc.)",7.0
1710041001,"Carshare vehicle (e.g., Zipcar, Car2Go, RelayRides, etc.)",7.0
1710041001,"Walk, jog, or wheelchair",7.0
1710041001,Bus (public transit),7.0
1710041001,"Walk, jog, or wheelchair",7.0
1710041001,"Walk, jog, or wheelchair",7.0
1710041001,Bus (public transit),7.0
1710041001,"Walk, jog, or wheelchair",7.0
1710041001,"Other hired service (e.g., Lyft, Uber)",7.0
1710041001,"Other hired service (e.g., Lyft, Uber)",7.0
1710041001,"Other hired service (e.g., Lyft, Uber)",7.0
1710041001,Friend/colleague's car,7.0
1710041001,Friend/colleague's car,7.0
1710041001,Friend/colleague's car,7.0
1710041001,"Walk, jog, or wheelchair",7.0
1710041001,"Walk, jog, or wheelchair",7.0
1710041001,"Other hired service (e.g., Lyft, Uber)",7.0
1710041001,"Walk, jog, or wheelchair",7.0
1710041001,"Walk, jog, or wheelchair",7.0
1710041001,"Walk, jog, or wheelchair",7.0
1710041001,Bus (public transit),7.0
1710041001,"Other hired service (e.g., Lyft, Uber)",7.0
1710041101,Bus (public transit),6.0
1710041101,Bus (public transit),6.0
1710041401,Household vehicle 1,7.0
1710041401,Household vehicle 1,7.0
1710041401,Household vehicle 1,7.0
1710041401,Household vehicle 1,7.0
1710041401,Household vehicle 1,7.0
1710041402,Household vehicle 2,7.0
1710041402,Household vehicle 2,7.0
1710041402,Household vehicle 1,7.0
1710041403,Household vehicle 1,1.0
1710041403,Household vehicle 1,1.0
1710041801,Household vehicle 1,7.0
1710041801,Household vehicle 1,7.0
1710041801,Household vehicle 1,7.0
1710041801,Household vehicle 1,7.0
1710041801,"Walk, jog, or wheelchair",7.0
1710041801,Household vehicle 1,7.0
1710044101,Bus (public transit),9.0
1710044101,Vanpool vehicle,9.0
1710044101,Household vehicle 1,9.0
1710044102,Household vehicle 1,10.0
1710044102,Household vehicle 1,10.0
1710044102,Household vehicle 1,10.0
1710044102,Household vehicle 1,10.0
1710044102,Household vehicle 1,10.0
1710045801,Household vehicle 1,8.0
1710045801,Household vehicle 1,8.0
1710045801,Household vehicle 1,8.0
1710045801,Household vehicle 1,8.0
1710045801,Household vehicle 1,8.0
1710045801,Household vehicle 1,8.0
1710045801,Household vehicle 1,8.0
1710045801,Household vehicle 1,8.0
1710045801,Household vehicle 1,8.0
1710047701,Household vehicle 1,7.0
1710047701,Household vehicle 1,7.0
1710047701,Household vehicle 1,7.0
1710047701,Household vehicle 1,7.0
1710047701,Household vehicle 1,7.0
1710048201,Household vehicle 1,9.0
1710048201,Household vehicle 1,9.0
1710048201,Household vehicle 1,9.0
1710049201,"Walk, jog, or wheelchair",10.0
1710049201,"Walk, jog, or wheelchair",10.0
1710049201,"Walk, jog, or wheelchair",10.0
1710050101,Bus (public transit),6.0
1710050101,Bus (public transit),6.0
1710050101,"Walk, jog, or wheelchair",6.0
1710050101,"Walk, jog, or wheelchair",6.0
1710050101,Bus (public transit),6.0
1710050101,"Walk, jog, or wheelchair",6.0
1710050101,"Walk, jog, or wheelchair",6.0
1710050101,"Walk, jog, or wheelchair",6.0
1710050101,Bus (public transit),6.0
1710050101,Bus (public transit),6.0
1710050101,Bus (public transit),6.0
1710050101,Bus (public transit),6.0
1710050101,Bus (public transit),6.0
1710050101,"Walk, jog, or wheelchair",6.0
1710050101,"Walk, jog, or wheelchair",6.0
1710050101,"Walk, jog, or wheelchair",6.0
1710050101,"Walk, jog, or wheelchair",6.0
1710050101,"Carshare vehicle (e.g., Zipcar, Car2Go, RelayRides, etc.)",6.0
1710050101,"Carshare vehicle (e.g., Zipcar, Car2Go, RelayRides, etc.)",6.0
1710050101,"Carshare vehicle (e.g., Zipcar, Car2Go, RelayRides, etc.)",6.0
1710050101,Bus (public transit),6.0
1710050101,Bus (public transit),6.0
1710050101,"Walk, jog, or wheelchair",6.0
1710056301,Household vehicle 1,7.0
1710056301,Household vehicle 1,7.0
1710056301,Household vehicle 1,7.0
1710056301,Household vehicle 1,7.0
1710056901,Bus (public transit),6.0
1710056901,Bus (public transit),6.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,"Walk, jog, or wheelchair",5.0
1710059001,"Walk, jog, or wheelchair",5.0
1710059001,"Walk, jog, or wheelchair",5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,"Walk, jog, or wheelchair",5.0
1710059001,Household vehicle 1,5.0
1710059001,"Walk, jog, or wheelchair",5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,Household vehicle 1,5.0
1710059001,,5.0
1710059001,,5.0
1710059001,,5.0
1710059001,,5.0
1710059001,,5.0
1710059001,,5.0
1710059001,,5.0
1710059001,,5.0
1710059001,,5.0
1710059001,,5.0
1710062701,,7.0
1710062701,,7.0
1710062701,,7.0
1710062701,,7.0
1710062701,,7.0
1710062701,,7.0
1710062701,,7.0
1710062701,,7.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065201,,6.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065202,,5.0
1710065203,,1.0
1710065203,,1.0
1710065203,,1.0
1710065203,,1.0
1710065203,,1.0
1710065203,,1.0
1710065203,,1.0
1710065203,,1.0
1710065203,,1.0
1710065203,,1.0
1710065203,,1.0
1710065203,,1.0
1710065203,,1.0
1710065203,,1.0
1710065203,,1.0
1710065203,Household vehicle 1,1.0
1710065203,Household vehicle 1,1.0
1710065203,Household vehicle 1,1.0
1710065203,Household vehicle 1,1.0
1710065203,Household vehicle 1,1.0
1710065203,Household vehicle 1,1.0
1710065203,Household vehicle 1,1.0
1710065203,Household vehicle 1,1.0
1710065203,Household vehicle 1,1.0
1710065203,Household vehicle 1,1.0
1710065203,Household vehicle 1,1.0
1710065203,Household vehicle 1,1.0
1710065203,Household vehicle 1,1.0
1710065203,Household vehicle 1,1.0
1710065203,Household vehicle 1,1.0
1710065203,Household vehicle 1,1.0
1710065203,Household vehicle 1,1.0
1710065203,Household vehicle 1,1.0
1710065401,Household vehicle 2,8.0
1710065401,Household vehicle 2,8.0
1710065401,Household vehicle 2,8.0
1710065401,Household vehicle 2,8.0
1710065401,Household vehicle 2,8.0
1710065401,Household vehicle 2,8.0
1710065401,Household vehicle 2,8.0
1710065401,Household vehicle 2,8.0
1710065401,Household vehicle 1,8.0
1710065401,Household vehicle 1,8.0
1710065401,Household vehicle 1,8.0
1710065401,Household vehicle 1,8.0
1710065401,Household vehicle 1,8.0
1710065401,Household vehicle 1,8.0
1710065401,Household vehicle 1,8.0
1710065401,Household vehicle 1,8.0
1710065401,Household vehicle 1,8.0
1710065401,Household vehicle 1,8.0
1710065401,Household vehicle 1,8.0
1710065401,Household vehicle 2,8.0
1710065401,Household vehicle 2,8.0
1710065401,Household vehicle 2,8.0
1710065401,Household vehicle 2,8.0
1710065401,Household vehicle 2,8.0
1710065401,Household vehicle 2,8.0
1710065401,Household vehicle 2,8.0
1710065401,Household vehicle 2,8.0
1710065401,Household vehicle 2,8.0
1710065401,Household vehicle 2,8.0
1710065401,Household vehicle 2,8.0
1710065402,Household vehicle 1,8.0
1710065402,Household vehicle 1,8.0
1710065402,Household vehicle 1,8.0
1710065402,Household vehicle 1,8.0
1710065402,Household vehicle 1,8.0
1710065402,Household vehicle 1,8.0
1710065402,Household vehicle 1,8.0
1710065402,Household vehicle 1,8.0
1710065402,Household vehicle 1,8.0
1710065402,Household vehicle 1,8.0
1710065402,Household vehicle 1,8.0
1710065402,Household vehicle 1,8.0
1710065402,Household vehicle 1,8.0
1710065402,Household vehicle 1,8.0
1710065402,Household vehicle 1,8.0
1710065402,Household vehicle 1,8.0
1710065402,Household vehicle 2,8.0
1710065402,Household vehicle 2,8.0
1710065402,Household vehicle 2,8.0
1710065402,Household vehicle 2,8.0
1710065402,Household vehicle 2,8.0
1710065402,Household vehicle 2,8.0
1710065402,Household vehicle 2,8.0
1710065402,Household vehicle 2,8.0
1710065402,Household vehicle 1,8.0
1710065402,Household vehicle 1,8.0
1710065403,Household vehicle 1,3.0
1710065403,Household vehicle 1,3.0
1710065403,Household vehicle 2,3.0
1710065403,Household vehicle 1,3.0
1710065403,Household vehicle 2,3.0
1710065403,Household vehicle 2,3.0
1710065403,Household vehicle 1,3.0
1710065403,Household vehicle 1,3.0
1710065403,Household vehicle 1,3.0
1710065403,Household vehicle 1,3.0
1710065403,Household vehicle 1,3.0
1710065403,Household vehicle 1,3.0
1710065403,Household vehicle 1,3.0
1710065403,Household vehicle 1,3.0
1710065403,Household vehicle 2,3.0
1710065403,Household vehicle 2,3.0
1710065403,Household vehicle 2,3.0
1710065403,Household vehicle 2,3.0
1710065403,Household vehicle 2,3.0
